,State,Number,Log Num
0,CA,427,8.73809225962049
1,NY,299,8.224001674198107
2,FL,212,7.7279204545632
3,TX,209,7.7073591320808825
4,PA,146,7.189824558880018
5,GA,122,6.930737337562887
6,CO,108,6.754887502163469
7,WA,76,6.247927513443586
8,IL,70,6.129283016944967
9,MD,65,6.022367813028454
10,NC,62,5.954196310386876
11,OH,62,5.954196310386876
12,NV,60,5.906890595608519
13,NJ,54,5.754887502163469
14,LA,52,5.700439718141093
15,IN,50,5.643856189774724
16,MA,50,5.643856189774724
17,OK,45,5.491853096329675
18,OR,45,5.491853096329675
19,MI,43,5.426264754702098
20,VA,42,5.392317422778761
21,MN,40,5.321928094887363
22,AZ,36,5.169925001442312
23,TN,32,5.0
24,DC,29,4.857980995127573
25,SC,29,4.857980995127573
26,MO,26,4.700439718141093
27,KY,26,4.700439718141093
28,AL,19,4.247927513443585
29,WI,18,4.169925001442312
30,IA,17,4.08746284125034
31,NH,17,4.08746284125034
32,NE,15,3.9068905956085187
33,ME,14,3.8073549220576037
34,NM,14,3.8073549220576037
35,UT,13,3.700439718141092
36,KS,12,3.5849625007211565
37,MS,11,3.4594316186372978
38,CT,11,3.4594316186372978
39,AR,11,3.4594316186372978
40,WY,8,3.0
41,RI,7,2.807354922057604
42,ID,7,2.807354922057604
43,HI,7,2.807354922057604
44,VT,7,2.807354922057604
45,DE,7,2.807354922057604
46,MT,6,2.584962500721156
47,AS,6,2.584962500721156
48,AK,6,2.584962500721156
49,ND,4,2.0
50,PR,4,2.0
51,MP,1,0.0
52,SD,1,0.0
53,GU,1,0.0
54,FM,1,0.0
